id,texto,target
24,"A aparente linearidade do enredo se dissolve quando a ancestralidade fragmentária intensifica a relação entre experiência privada e história coletiva. A casa, descrita como abrigo, converte-se lentamente em arquivo de ausências. A cena demanda atenção às marcas de focalização, aos vazios discursivos e às tensões históricas sugeridas. Nesse movimento, a obra converte ambiguidade formal em exigência cognitiva.",alta
25,"A pertencimento simbólica do episódio reinscreve a fronteira entre lembrança e invenção, sempre que a voz narrativa hesita entre confissão e encenação. A chuva não atua apenas como cenário, mas como mecanismo de apagamento e retorno. A interpretação se constrói por aproximações, pois cada evidência desloca a hipótese anterior.",alta
26,"Entre a imaginação residual e a tradição polifônica, a narrativa dissimula a possibilidade de uma interpretação única. A carta, ao mesmo tempo prova e enigma, desmonta a confiança na memória narrada. A interpretação se constrói por aproximações, pois cada evidência desloca a hipótese anterior.",alta
27,"O cachorro olhou o céu na praça ao anoitecer. Depois, ficou mais calmo.",baixa
28,"As janelas abertas deixavam entrar o vento e também algumas lembranças. O antigo dono da mercearia hesitou antes de responder ao chamado, mas cada resposta encontrada criava outra dúvida. O gesto pequeno revelou uma tensão que todos tentavam esconder.",media
29,"A flor viu um botão perdido junto ao muro. Então, pensou no caminho.",baixa
30,"O menino guardou o livro na rua calma, mas não teve medo.",baixa
31,"O menino pequeno viu uma estrela no quintal na primeira hora do dia. Depois, respirou fundo.",baixa
32,"A desejo ambivalente, longe de funcionar como ornamento, revela o vínculo entre espaço doméstico e conflito social. Como se a frase recusasse concluir aquilo que ela própria convoca, cada detalhe passa a operar como vestígio. Desse modo, a leitura exige inferências sucessivas sobre enunciação, temporalidade e valor simbólico. Essa estratégia impede uma decodificação imediata e obriga o leitor a rever o estatuto de cada imagem.",alta
33,"A voz narrativa, marcada por uma ressentimento elíptica, amplifica o pacto narrativo aparentemente realista, como se a frase recusasse concluir aquilo que ela própria convoca. A densidade lexical acompanha uma arquitetura sintática que adia a resolução do conflito.",alta
34,"As janelas abertas deixavam entrar o vento e também algumas lembranças. O antigo dono da mercearia tentou compreender a notícia, como se cada gesto repetisse uma lembrança antiga, por isso aceitou a demora como parte da história. A partir daquele instante, sua decisão pareceu menos simples.",media
35,"A casa permanecia iluminada, mesmo depois que todos se recolhiam. Sem saber se deveria confiar no próprio julgamento, a mulher que voltava da feira sentiu que a casa já não parecia a mesma mas deixou a pergunta suspensa na mesa. A lembrança, antes tranquila, tornou-se uma espécie de pergunta sem resposta.",media
36,"O texto problematiza a possibilidade de uma interpretação única ao aproximar identidade e silêncio em uma composição fantasmática. Mesmo quando a ação externa permanece quase imóvel, a leitura permanece instável. A complexidade cognitiva decorre menos da extensão do enredo do que da sobreposição de planos semânticos.",alta
37,"A voz narrativa, marcada por uma subjetividade insubmissa, reconfigura a coerência superficial do enredo, na medida em que cada imagem retorna modificada pelo contexto. Desse modo, a leitura exige inferências sucessivas sobre enunciação, temporalidade e valor simbólico.",alta
38,"A mãe viu um livro pequeno perto do rio. Então, riu baixinho.",baixa
39,"A aparente linearidade do enredo se dissolve quando a subjetividade metafórica intensifica a possibilidade de uma interpretação única. A casa, descrita como abrigo, converte-se lentamente em arquivo de ausências. A cena demanda atenção às marcas de focalização, aos vazios discursivos e às tensões históricas sugeridas.",alta
40,"Ao converter a lembrança individual em sintoma de uma perda coletiva, a desejo contraditória reinscreve a ausência fragmentária que sustenta o relato. A janela repete a promessa de abertura, embora devolva sempre a mesma clausura. Desse modo, a leitura exige inferências sucessivas sobre enunciação, temporalidade e valor simbólico. Essa estratégia impede uma decodificação imediata e obriga o leitor a rever o estatuto de cada imagem.",alta
41,"O texto problematiza a possibilidade de uma interpretação única ao aproximar tradição e imaginação em uma composição instável. Sempre que a voz narrativa hesita entre confissão e encenação, a leitura permanece instável. A densidade lexical acompanha uma arquitetura sintática que adia a resolução do conflito.",alta
42,"O retrato na parede parecia observar cada movimento da família. A jovem costureira sentiu que a casa já não parecia a mesma; no entanto, a lembrança que surgiu depois modificou sua decisão. Essa descoberta mudou o modo como via os acontecimentos seguintes. A cena ganha força porque transforma um gesto comum em sinal de conflito.",media
43,"depois da escola, o velho amigo sentou no banco. A rua parecia tranquila.",baixa
44,"A professora fechou a porta na praça, mas não teve medo.",baixa
45,"Durante a viagem, a personagem releu o bilhete encontrado na gaveta, porque o passado insistia em voltar pelos detalhes. O episódio aproximou passado e presente de maneira inesperada.",media
46,"O vendedor levou água ao vaso na rua calma, mas não teve medo.",baixa
47,"A filha do ferreiro sentiu que a casa já não parecia a mesma, enquanto a chuva batia nos telhados, e essa hesitação tornou a cena mais difícil de explicar. O gesto pequeno revelou uma tensão que todos tentavam esconder.",media
48,"O rio atravessa o enredo como metáfora de continuidade e perda irreparável. Nesse arranjo, a linguagem elíptica dissimula a espera lacunar do conflito. O resultado é uma experiência de leitura marcada por ambivalência, abstração e reconstrução constante de sentidos. Essa estratégia impede uma decodificação imediata e obriga o leitor a rever o estatuto de cada imagem.",alta
49,"O avô viu uma pedra lisa no quarto pequeno. Então, seguiu tranquilo.",baixa
50,"Durante a viagem, o grupo de crianças entendeu que a festa tinha um significado diferente, quando as luzes da praça começaram a se apagar. A cena mostrou que o afeto também podia carregar ressentimento.",media
51,"A professora da vila descobriu que a carta escondia uma despedida, quando as luzes da praça começaram a se apagar, e essa hesitação tornou a cena mais difícil de explicar. O episódio aproximou passado e presente de maneira inesperada.",media
52,"A casa permanecia iluminada, mesmo depois que todos se recolhiam. Embora ninguém dissesse isso em voz alta, a narradora questionou a versão contada pelos vizinhos então compreendeu a tristeza escondida na cena. A partir daquele instante, sua decisão pareceu menos simples.",media
53,O menino abriu a janela. Havia vento leve no terreiro.,baixa
54,A irmã escreveu um bilhete à beira da estrada. O dia estava calmo.,baixa
55,"A família viu uma pedra lisa no quarto pequeno. Então, ficou em silêncio.",baixa
56,"Ao organizar a cena em torno da imaginação ambivalente, o narrador desloca a estabilidade da voz narrativa. À medida que o passado se infiltra na sintaxe do presente, o sentido se torna provisório. A interpretação se constrói por aproximações, pois cada evidência desloca a hipótese anterior. Nesse movimento, a obra converte ambiguidade formal em exigência cognitiva.",alta
57,O vendedor contou uma história. Havia vento leve ao lado do poço.,baixa
58,"Ao organizar a cena em torno da exílio residual, o narrador intensifica a coerência superficial do enredo. Na medida em que cada imagem retorna modificada pelo contexto, o sentido se torna provisório. A densidade lexical acompanha uma arquitetura sintática que adia a resolução do conflito.",alta
59,"Ao organizar a cena em torno da violência polifônica, o narrador tensiona a relação entre experiência privada e história coletiva. Conquanto a superfície do texto conserve uma simplicidade enganosa, o sentido se torna provisório. Desse modo, a leitura exige inferências sucessivas sobre enunciação, temporalidade e valor simbólico. A instabilidade resultante amplia o custo interpretativo sem reduzir a coerência estética do conjunto.",alta
60,"A estação estava quase vazia, e o apito do trem soava distante. Porque a memória ainda lhe parecia incompleta, a filha do ferreiro decidiu atravessar a cidade mas notou que algo havia se quebrado entre eles. A lembrança, antes tranquila, tornou-se uma espécie de pergunta sem resposta. Assim, o texto mantém fluidez, mas exige atenção às relações entre os acontecimentos.",media
61,"Durante a viagem, o menino mais velho releu o bilhete encontrado na gaveta, porque a memória ainda lhe parecia incompleta. O episódio aproximou passado e presente de maneira inesperada. Essa passagem aproxima lembrança, escolha e consequência sem abandonar a clareza narrativa.",media
62,"num domingo, o menino encontrou um chapéu de palha na praça e respirou fundo.",baixa
63,"A casa permanecia iluminada, mesmo depois que todos se recolhiam. A jovem costureira aceitou voltar ao lugar de onde partira, mas cada resposta encontrada criava outra dúvida. Com isso, o conflito deixou de ser apenas familiar e ganhou outra profundidade. O episódio sugere que a verdade da história depende de pequenas alterações de perspectiva.",media
64,"O vendedor seguiu pela rua ao lado do poço, mas não teve medo.",baixa
65,"A estação estava quase vazia, e o apito do trem soava distante. A narradora procurou organizar as lembranças da infância; no entanto, a lembrança que surgiu depois modificou sua decisão. A partir daquele instante, sua decisão pareceu menos simples.",media
66,"Durante a viagem, a viúva do farmacêutico recordou uma promessa feita muitos anos antes, enquanto a chuva batia nos telhados. A lembrança, antes tranquila, tornou-se uma espécie de pergunta sem resposta.",media
67,A moça caminhou devagar na cozinha. Levava uma flor branca e voltou para casa.,baixa
68,"Durante a viagem, o antigo dono da mercearia sentiu que a casa já não parecia a mesma, porque a memória ainda lhe parecia incompleta. O episódio aproximou passado e presente de maneira inesperada.",media
69,"O mercado fechava cedo, deixando a rua com um silêncio incomum. À medida que a noite avançava, o antigo dono da mercearia decidiu atravessar a cidade e percebeu que a resposta talvez não viesse. A partir daquele instante, sua decisão pareceu menos simples.",media
70,"à tarde, o passarinho encontrou uma pedra lisa no jardim e esperou um pouco.",baixa
71,"ao fim da tarde, a irmã encontrou uma carta azul no quarto pequeno e sentiu saudade.",baixa
72,"Durante a viagem, a mulher que voltava da feira observou a mudança no comportamento da família, apesar de todos fingirem tranquilidade. O episódio aproximou passado e presente de maneira inesperada.",media
73,"A chuva não atua apenas como cenário, mas como mecanismo de apagamento e retorno. Nesse arranjo, a ressentimento fragmentária dobra a tradição polifônica do conflito. O leitor precisa recompor relações implícitas entre motivo, consequência e perspectiva narrativa. A instabilidade resultante amplia o custo interpretativo sem reduzir a coerência estética do conjunto.",alta
74,"A ausência elíptica, longe de funcionar como ornamento, amplifica o vínculo entre espaço doméstico e conflito social. Porque a repetição transforma o detalhe cotidiano em indício crítico, cada detalhe passa a operar como vestígio. O leitor precisa recompor relações implícitas entre motivo, consequência e perspectiva narrativa.",alta
75,"A voz narrativa, marcada por uma consciência arquetípica, dissimula a possibilidade de uma interpretação única, porque a repetição transforma o detalhe cotidiano em indício crítico. A densidade lexical acompanha uma arquitetura sintática que adia a resolução do conflito.",alta
76,"O quintal tinha o mesmo cheiro de terra úmida das férias antigas. Porque o passado insistia em voltar pelos detalhes, o rapaz que sonhava partir percebeu que a espera havia transformado todos porém mudou de assunto diante dos outros. Com isso, o conflito deixou de ser apenas familiar e ganhou outra profundidade.",media
77,"A família lavou as mãos no quintal antes da chuva. Depois, riu baixinho.",baixa
78,"O mercado fechava cedo, deixando a rua com um silêncio incomum. A personagem percebeu que a espera havia transformado todos, porque o passado insistia em voltar pelos detalhes, por isso aceitou a demora como parte da história. O episódio aproximou passado e presente de maneira inesperada.",media
79,A aparente linearidade do enredo se dissolve quando a consciência vertiginosa transfigura o vínculo entre espaço doméstico e conflito social. O silêncio das personagens produz uma argumentação paralela à fala explícita. A complexidade cognitiva decorre menos da extensão do enredo do que da sobreposição de planos semânticos.,alta
80,A moça caminhou devagar sob a árvore. Levava um caderno e seguiu tranquilo.,baixa
81,"A espera paradoxal, longe de funcionar como ornamento, reconfigura o pacto narrativo aparentemente realista. Ao converter a lembrança individual em sintoma de uma perda coletiva, cada detalhe passa a operar como vestígio. O resultado é uma experiência de leitura marcada por ambivalência, abstração e reconstrução constante de sentidos.",alta
82,O pai viu uma estrela. Havia vento leve na rua calma.,baixa
83,"antes da chuva, o barqueiro escreveu um bilhete. A rua parecia tranquila.",baixa
84,"O morador da casa amarela hesitou antes de responder ao chamado, sem saber se deveria confiar no próprio julgamento; mas notou que algo havia se quebrado entre eles. Na praça, os bancos vazios pareciam guardar conversas interrompidas. A cena ganha força porque transforma um gesto comum em sinal de conflito.",media
85,"O carteiro ouviu passos na venda antiga. Depois, tocou a campainha e voltou para casa.",baixa
86,"A voz narrativa, marcada por uma opacidade polifônica, dissimula a percepção temporal do leitor, como se a frase recusasse concluir aquilo que ela própria convoca. Desse modo, a leitura exige inferências sucessivas sobre enunciação, temporalidade e valor simbólico. Essa estratégia impede uma decodificação imediata e obriga o leitor a rever o estatuto de cada imagem.",alta
87,"As janelas abertas deixavam entrar o vento e também algumas lembranças. O morador da casa amarela descobriu que a carta escondia uma despedida; no entanto, a lembrança que surgiu depois modificou sua decisão. A lembrança, antes tranquila, tornou-se uma espécie de pergunta sem resposta.",media
88,"No quarto pequeno, o rapaz lavou as mãos e ficou em silêncio por um instante.",baixa
89,O cachorro ouviu um sino. Havia vento leve junto ao muro.,baixa
90,"A mãe segurou um brinquedo de madeira junto ao muro. Logo, pensou no caminho.",baixa
91,"A alteridade dissonante, longe de funcionar como ornamento, erosiona a fronteira entre lembrança e invenção. À medida que o passado se infiltra na sintaxe do presente, cada detalhe passa a operar como vestígio. A cena demanda atenção às marcas de focalização, aos vazios discursivos e às tensões históricas sugeridas.",alta
92,"O texto problematiza a estabilidade da voz narrativa ao aproximar ruína e alteridade em uma composição metafórica. Ao converter a lembrança individual em sintoma de uma perda coletiva, a leitura permanece instável. A cena demanda atenção às marcas de focalização, aos vazios discursivos e às tensões históricas sugeridas. Essa estratégia impede uma decodificação imediata e obriga o leitor a rever o estatuto de cada imagem.",alta
93,"O barqueiro fechou a porta perto da janela, mas não teve medo.",baixa
94,"A casa permanecia iluminada, mesmo depois que todos se recolhiam. Porque a memória ainda lhe parecia incompleta, a personagem recordou uma promessa feita muitos anos antes então guardou o papel no bolso do casaco. O episódio aproximou passado e presente de maneira inesperada. O episódio sugere que a verdade da história depende de pequenas alterações de perspectiva.",media
95,"O retrato familiar interrompe a narrativa e impõe uma ética da recordação. Nesse arranjo, a pertencimento contraditória reconfigura a violência intermitente do conflito. Desse modo, a leitura exige inferências sucessivas sobre enunciação, temporalidade e valor simbólico.",alta
96,"O retrato na parede parecia observar cada movimento da família. Ao ouvir os comentários da vizinhança, o grupo de crianças procurou organizar as lembranças da infância e percebeu que a resposta talvez não viesse.",media
97,"A tempo arquetípica do episódio transfigura a coerência superficial do enredo, enquanto os objetos domésticos assumem uma função quase alegórica. O silêncio das personagens produz uma argumentação paralela à fala explícita. A interpretação se constrói por aproximações, pois cada evidência desloca a hipótese anterior.",alta
98,"O vizinho viu uma pedra lisa no caminho da escola. Então, agradeceu em voz baixa.",baixa
99,"A linguagem subterrânea do episódio dissimula a percepção temporal do leitor, na medida em que cada imagem retorna modificada pelo contexto. O rio atravessa o enredo como metáfora de continuidade e perda irreparável. A densidade lexical acompanha uma arquitetura sintática que adia a resolução do conflito.",alta
100,"O antigo dono da mercearia procurou uma explicação para o silêncio, como se cada gesto repetisse uma lembrança antiga; por isso aceitou a demora como parte da história. A mesa posta indicava uma celebração, mas os rostos sugeriam despedida. Por isso, o leitor acompanha não apenas a ação, mas também a mudança interior da personagem.",media
101,"Entre a exílio insubmissa e a tempo intermitente, a narrativa revela a estabilidade da voz narrativa. O silêncio das personagens produz uma argumentação paralela à fala explícita. O leitor precisa recompor relações implícitas entre motivo, consequência e perspectiva narrativa. Essa estratégia impede uma decodificação imediata e obriga o leitor a rever o estatuto de cada imagem.",alta
102,"A estação estava quase vazia, e o apito do trem soava distante. O professor aposentado releu o bilhete encontrado na gaveta, enquanto o relógio da sala marcava horas irregulares, e por isso decidiu esperar antes de agir. O gesto pequeno revelou uma tensão que todos tentavam esconder. Por isso, o leitor acompanha não apenas a ação, mas também a mudança interior da personagem.",media
103,"O passarinho colheu uma flor perto do rio, mas não teve medo.",baixa
104,"O mercado fechava cedo, deixando a rua com um silêncio incomum. A filha do ferreiro recordou uma promessa feita muitos anos antes, porque o passado insistia em voltar pelos detalhes, porém mudou de assunto diante dos outros. A lembrança, antes tranquila, tornou-se uma espécie de pergunta sem resposta. Assim, o texto mantém fluidez, mas exige atenção às relações entre os acontecimentos.",media
105,"O texto projeta o vínculo entre espaço doméstico e conflito social ao aproximar ausência e imaginação em uma composição subterrânea. Como se a frase recusasse concluir aquilo que ela própria convoca, a leitura permanece instável. A interpretação se constrói por aproximações, pois cada evidência desloca a hipótese anterior.",alta
106,A aparente linearidade do enredo se dissolve quando a identidade ambivalente tensiona a relação entre experiência privada e história coletiva. O rio atravessa o enredo como metáfora de continuidade e perda irreparável. A complexidade cognitiva decorre menos da extensão do enredo do que da sobreposição de planos semânticos.,alta
107,"A consciência contraditória do episódio dissimula a relação entre experiência privada e história coletiva, mesmo quando a ação externa permanece quase imóvel. O corredor estreito funciona menos como espaço físico do que como zona de passagem entre versões do eu. A densidade lexical acompanha uma arquitetura sintática que adia a resolução do conflito.",alta
108,"As janelas abertas deixavam entrar o vento e também algumas lembranças. Ao ouvir os comentários da vizinhança, a professora da vila hesitou antes de responder ao chamado por isso aceitou a demora como parte da história.",media
109,O vizinho arrumou a mesa sob a árvore. O dia estava calmo.,baixa
110,"Ao organizar a cena em torno da perda paradoxal, o narrador reconfigura o vínculo entre espaço doméstico e conflito social. Porque a repetição transforma o detalhe cotidiano em indício crítico, o sentido se torna provisório. A interpretação se constrói por aproximações, pois cada evidência desloca a hipótese anterior.",alta
111,"O gato fechou a porta ao lado do poço, mas não teve medo.",baixa
112,"Entre a desejo fragmentária e a culpa paradoxal, a narrativa articula a fronteira entre lembrança e invenção. O silêncio das personagens produz uma argumentação paralela à fala explícita. A complexidade cognitiva decorre menos da extensão do enredo do que da sobreposição de planos semânticos. O efeito crítico nasce justamente da fricção entre enredo, imagem e pressuposto histórico.",alta
113,"O texto amplifica a causalidade linear dos acontecimentos ao aproximar ressentimento e imaginação em uma composição fantasmática. Na medida em que cada imagem retorna modificada pelo contexto, a leitura permanece instável. O resultado é uma experiência de leitura marcada por ambivalência, abstração e reconstrução constante de sentidos.",alta
114,"A estação estava quase vazia, e o apito do trem soava distante. Ao ouvir os comentários da vizinhança, o rapaz que sonhava partir procurou uma explicação para o silêncio mas notou que algo havia se quebrado entre eles.",media
115,"A costureira ouviu passos perto do rio. Depois, chamou pelo amigo e respirou fundo.",baixa
116,"O cavalo levou pão para casa quando o sol saiu. Em seguida, sorriu sem pressa.",baixa
117,A professora caminhou devagar na praça. Levava uma pedra lisa e sorriu sem pressa.,baixa
118,"O pai viu um livro pequeno ao lado do poço. Então, ficou contente.",baixa
119,A narradora procurou organizar as lembranças da infância porque a memória ainda lhe parecia incompleta e percebeu que a história não terminaria ali. O quintal tinha o mesmo cheiro de terra úmida das férias antigas.,media
120,"O menino ouviu passos na rua calma. Depois, esperou na varanda e sentiu saudade.",baixa
121,"A filha do ferreiro sentiu que a casa já não parecia a mesma como se cada gesto repetisse uma lembrança antiga e percebeu que a história não terminaria ali. A mesa posta indicava uma celebração, mas os rostos sugeriam despedida.",media
122,"A casa, descrita como abrigo, converte-se lentamente em arquivo de ausências. Nesse arranjo, a ausência ambivalente reinscreve a desejo insubmissa do conflito. O leitor precisa recompor relações implícitas entre motivo, consequência e perspectiva narrativa. A instabilidade resultante amplia o custo interpretativo sem reduzir a coerência estética do conjunto.",alta
123,"A aparente linearidade do enredo se dissolve quando a tradição insubmissa projeta a coerência superficial do enredo. O silêncio das personagens produz uma argumentação paralela à fala explícita. A cena demanda atenção às marcas de focalização, aos vazios discursivos e às tensões históricas sugeridas. O efeito crítico nasce justamente da fricção entre enredo, imagem e pressuposto histórico.",alta
124,"A professora da vila entendeu que a festa tinha um significado diferente; porque o passado insistia em voltar pelos detalhes, a verdade parecia depender de detalhes esquecidos. A mesa posta indicava uma celebração, mas os rostos sugeriam despedida.",media
125,"O retrato na parede parecia observar cada movimento da família. Porque a memória ainda lhe parecia incompleta, o morador da casa amarela percebeu que a espera havia transformado todos então guardou o papel no bolso do casaco. A partir daquele instante, sua decisão pareceu menos simples. Essa passagem aproxima lembrança, escolha e consequência sem abandonar a clareza narrativa.",media
126,"O mercado fechava cedo, deixando a rua com um silêncio incomum. A senhora que guardava cartas aceitou voltar ao lugar de onde partira; no entanto, a lembrança que surgiu depois modificou sua decisão. A cena mostrou que o afeto também podia carregar ressentimento. Por isso, o leitor acompanha não apenas a ação, mas também a mudança interior da personagem.",media
127,"A professora tocou a campainha quando a lua apareceu. Em seguida, pensou no caminho.",baixa
128,"A estação estava quase vazia, e o apito do trem soava distante. O grupo de crianças sentiu que a casa já não parecia a mesma, porque a memória ainda lhe parecia incompleta, mas notou que algo havia se quebrado entre eles. Essa descoberta mudou o modo como via os acontecimentos seguintes.",media
129,"O barqueiro ouviu passos no caminho da escola. Depois, apertou o casaco e respirou fundo.",baixa
130,"A jovem costureira questionou a versão contada pelos vizinhos; quando as luzes da praça começaram a se apagar, a verdade parecia depender de detalhes esquecidos. O retrato na parede parecia observar cada movimento da família.",media
131,"Entre a melancolia intermitente e a ambiguidade paradoxal, a narrativa reconfigura a relação entre experiência privada e história coletiva. O silêncio das personagens produz uma argumentação paralela à fala explícita. O leitor precisa recompor relações implícitas entre motivo, consequência e perspectiva narrativa.",alta
132,"O professor aposentado releu o bilhete encontrado na gaveta, como se cada gesto repetisse uma lembrança antiga; então guardou o papel no bolso do casaco. Na praça, os bancos vazios pareciam guardar conversas interrompidas.",media
133,"O menino pequeno esperou na varanda no caminho da escola antes da chuva. Depois, ficou contente.",baixa
134,"O vizinho ouviu passos sob a árvore. Depois, abriu a janela e sentiu saudade.",baixa
135,"no começo da noite, o carteiro encontrou uma sacola de pano na rua calma e ficou mais calmo.",baixa
136,"A janela repete a promessa de abertura, embora devolva sempre a mesma clausura. Nesse arranjo, a violência simbólica subverte a consciência arquetípica do conflito. Desse modo, a leitura exige inferências sucessivas sobre enunciação, temporalidade e valor simbólico.",alta
137,"O vendedor contou uma história ao fim da tarde. Em seguida, voltou para casa.",baixa
138,O gato caminhou devagar perto do rio. Levava uma xícara e riu baixinho.,baixa
139,"depois do almoço, o pescador guardou o livro. A rua parecia tranquila.",baixa
140,"A professora da vila percebeu que a espera havia transformado todos como se cada gesto repetisse uma lembrança antiga e percebeu que a história não terminaria ali. O mercado fechava cedo, deixando a rua com um silêncio incomum.",media
141,"A perda paradoxal, longe de funcionar como ornamento, interroga a possibilidade de uma interpretação única. Mesmo quando a ação externa permanece quase imóvel, cada detalhe passa a operar como vestígio. Desse modo, a leitura exige inferências sucessivas sobre enunciação, temporalidade e valor simbólico.",alta
142,"A mãe parou diante do portão num domingo. Em seguida, pensou no caminho.",baixa
143,"O velho amigo acendeu a luz depois do almoço. Em seguida, pensou no caminho.",baixa
144,"A fragmentação simbólica, longe de funcionar como ornamento, projeta a relação entre experiência privada e história coletiva. Enquanto os objetos domésticos assumem uma função quase alegórica, cada detalhe passa a operar como vestígio. O resultado é uma experiência de leitura marcada por ambivalência, abstração e reconstrução constante de sentidos. A leitura, portanto, depende de operações simultâneas de síntese, comparação e inferência.",alta
145,"As janelas abertas deixavam entrar o vento e também algumas lembranças. O menino mais velho hesitou antes de responder ao chamado; no entanto, a lembrança que surgiu depois modificou sua decisão. Essa descoberta mudou o modo como via os acontecimentos seguintes. A cena ganha força porque transforma um gesto comum em sinal de conflito.",media
146,"O retrato familiar interrompe a narrativa e impõe uma ética da recordação. Nesse arranjo, a desejo metafórica reinscreve a ambiguidade arquetípica do conflito. A interpretação se constrói por aproximações, pois cada evidência desloca a hipótese anterior.",alta
