slug,title,author,work,source,source_id,record_url,text_url,url,language,genre,original_year,literary_period,expected_complexity_profile,dataset_priority,methodological_notes,license_notes
iracema,Iracema,José de Alencar,Iracema,Project Gutenberg,67740,https://www.gutenberg.org/ebooks/67740,https://www.gutenberg.org/ebooks/67740.txt.utf-8,https://www.gutenberg.org/ebooks/67740.txt.utf-8,pt,romance,1865,romantismo_indianismo,media_alta,Principal,Linguagem poética e imagética; exige limpeza cuidadosa de notas e prefácios.,Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
o_guarany_vol1,"O Guarany, Volume 1",José de Alencar,O Guarany,Project Gutenberg,67724,https://www.gutenberg.org/ebooks/67724,https://www.gutenberg.org/ebooks/67724.txt.utf-8,https://www.gutenberg.org/ebooks/67724.txt.utf-8,pt,romance,1857,romantismo_indianismo,media,Principal,"Narrativa de aventura com descrições extensas; bom para baixa, média e alguns trechos altos.",Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
o_guarany_vol2,"O Guarany, Volume 2",José de Alencar,O Guarany,Project Gutenberg,67725,https://www.gutenberg.org/ebooks/67725,https://www.gutenberg.org/ebooks/67725.txt.utf-8,https://www.gutenberg.org/ebooks/67725.txt.utf-8,pt,romance,1857,romantismo_indianismo,media,Principal,Continuação da mesma obra; usar metadado de volume para controle de origem e possível agrupamento.,Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
ubirajara,Ubirajara,José de Alencar,Ubirajara,Project Gutenberg,38496,https://www.gutenberg.org/ebooks/38496,https://www.gutenberg.org/ebooks/38496.txt.utf-8,https://www.gutenberg.org/ebooks/38496.txt.utf-8,pt,romance,1874,romantismo_indianismo,media_alta,Complementar,Linguagem indianista e estilizada; útil para trechos de simbolismo e descrição.,Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
cinco_minutos,Cinco Minutos,José de Alencar,Cinco Minutos,Project Gutenberg,44540,https://www.gutenberg.org/ebooks/44540,https://www.gutenberg.org/ebooks/44540.txt.utf-8,https://www.gutenberg.org/ebooks/44540.txt.utf-8,pt,romance,1856,romantismo_urbano,baixa_media,Complementar,"Obra curta; pode gerar poucos trechos, útil mais como complemento do que base principal.",Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
a_pata_da_gazella,A Pata da Gazella,José de Alencar,A Pata da Gazella,Project Gutenberg,67831,https://www.gutenberg.org/ebooks/67831,https://www.gutenberg.org/ebooks/67831.txt.utf-8,https://www.gutenberg.org/ebooks/67831.txt.utf-8,pt,romance,1870,romantismo_urbano,media,Complementar,Romance urbano com cenas sociais; útil para variedade estilística.,Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
o_cortico,O Cortiço,Aluísio Azevedo,O Cortiço,Project Gutenberg,69187,https://www.gutenberg.org/ebooks/69187,https://www.gutenberg.org/ebooks/69187.txt.utf-8,https://www.gutenberg.org/ebooks/69187.txt.utf-8,pt,romance,1890,naturalismo,media,Principal,Descrições sociais e coletivas; boa fonte para trechos narrativos e descritivos.,Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
o_atheneu,O Atheneu,Raul Pompéia,O Atheneu,Project Gutenberg,68541,https://www.gutenberg.org/ebooks/68541,https://www.gutenberg.org/ebooks/68541.txt.utf-8,https://www.gutenberg.org/ebooks/68541.txt.utf-8,pt,romance,1888,realismo_naturalismo,alta,Principal,"Memória, crítica institucional e densidade estilística; forte candidato para trechos médios e altos.",Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
triste_fim_polycarpo_quaresma,Triste Fim de Polycarpo Quaresma,Lima Barreto,Triste Fim de Polycarpo Quaresma,Project Gutenberg,67535,https://www.gutenberg.org/ebooks/67535,https://www.gutenberg.org/ebooks/67535.txt.utf-8,https://www.gutenberg.org/ebooks/67535.txt.utf-8,pt,romance,1915,pre_modernismo,media,Principal,Crítica social e política em linguagem relativamente direta; bom para classe média.,Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
a_fallencia,A Fallência,Júlia Lopes de Almeida,A Fallência,Project Gutenberg,69229,https://www.gutenberg.org/ebooks/69229,https://www.gutenberg.org/ebooks/69229.txt.utf-8,https://www.gutenberg.org/ebooks/69229.txt.utf-8,pt,romance,1901,realismo,media,Principal,"Romance social e familiar; boa fonte para trechos narrativos, econômicos e psicológicos.",Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
a_intrusa,A Intrusa,Júlia Lopes de Almeida,A Intrusa,Project Gutenberg,67594,https://www.gutenberg.org/ebooks/67594,https://www.gutenberg.org/ebooks/67594.txt.utf-8,https://www.gutenberg.org/ebooks/67594.txt.utf-8,pt,romance,1908,realismo,media,Principal,Relações domésticas e sociais; útil para média complexidade e variedade autoral feminina.,Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
era_uma_vez,Era uma vez...,Júlia Lopes de Almeida,Era uma vez...,Project Gutenberg,69239,https://www.gutenberg.org/ebooks/69239,https://www.gutenberg.org/ebooks/69239.txt.utf-8,https://www.gutenberg.org/ebooks/69239.txt.utf-8,pt,conto,1917,literatura_infantil,baixa_media,Complementar,"Narrativa de matriz fabular; útil para ampliar variedade, mas deve ser balanceada para não simplificar demais o corpus.",Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
innocencia,Inocência,Visconde de Taunay,Inocência,Project Gutenberg,68635,https://www.gutenberg.org/ebooks/68635,https://www.gutenberg.org/ebooks/68635.txt.utf-8,https://www.gutenberg.org/ebooks/68635.txt.utf-8,pt,romance,1872,regionalismo_romantico,baixa_media,Principal,Narrativa regionalista com trechos descritivos e diretos; boa fonte para baixa e média.,Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
a_illustre_casa_de_ramires,A Illustre Casa de Ramires,Eça de Queirós,A Illustre Casa de Ramires,Project Gutenberg,23145,https://www.gutenberg.org/ebooks/23145,https://www.gutenberg.org/ebooks/23145.txt.utf-8,https://www.gutenberg.org/ebooks/23145.txt.utf-8,pt,romance,1900,realismo_portugues,media_alta,Principal,Romance realista com paralelismo histórico e comentário social; útil para trechos de média e alta complexidade.,Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
correspondencia_fradique_mendes,A Correspondência de Fradique Mendes,Eça de Queirós,A Correspondência de Fradique Mendes,Project Gutenberg,27637,https://www.gutenberg.org/ebooks/27637,https://www.gutenberg.org/ebooks/27637.txt.utf-8,https://www.gutenberg.org/ebooks/27637.txt.utf-8,pt,romance_epistolar,1900,realismo_portugues,alta,Principal,"Forma epistolar, reflexão cultural e identidade literária; fonte densa para trechos altos.",Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
os_maias,Os Maias,Eça de Queirós,Os Maias,Project Gutenberg,40409,https://www.gutenberg.org/ebooks/40409,https://www.gutenberg.org/ebooks/40409.txt.utf-8,https://www.gutenberg.org/ebooks/40409.txt.utf-8,pt,romance,1888,realismo_portugues,media_alta,Principal,"Romance extenso com crítica social, drama familiar e ironia; fonte importante para diversidade.",Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
contos_eca,Contos,Eça de Queirós,Contos,Project Gutenberg,31347,https://www.gutenberg.org/ebooks/31347,https://www.gutenberg.org/ebooks/31347.txt.utf-8,https://www.gutenberg.org/ebooks/31347.txt.utf-8,pt,contos,1902,realismo_portugues,media_alta,Principal,Coletânea de contos; boa para variedade de narrativas e trechos de extensão controlada.,Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
crime_do_padre_amaro,O Crime do Padre Amaro,Eça de Queirós,O Crime do Padre Amaro,Project Gutenberg,31971,https://www.gutenberg.org/ebooks/31971,https://www.gutenberg.org/ebooks/31971.txt.utf-8,https://www.gutenberg.org/ebooks/31971.txt.utf-8,pt,romance,1875,realismo_naturalismo_portugues,media_alta,Principal,Crítica social e religiosa; útil para trechos reflexivos e narrativos densos.,Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
o_primo_bazilio,O Primo Bazilio,Eça de Queirós,O Primo Bazilio,Project Gutenberg,42942,https://www.gutenberg.org/ebooks/42942,https://www.gutenberg.org/ebooks/42942.txt.utf-8,https://www.gutenberg.org/ebooks/42942.txt.utf-8,pt,romance,1878,realismo_portugues,media_alta,Principal,Romance doméstico e social; bom para conflito psicológico e crítica de costumes.,Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
a_cidade_e_as_serras,A Cidade e as Serras,Eça de Queirós,A Cidade e as Serras,Project Gutenberg,18220,https://www.gutenberg.org/ebooks/18220,https://www.gutenberg.org/ebooks/18220.txt.utf-8,https://www.gutenberg.org/ebooks/18220.txt.utf-8,pt,romance,1901,realismo_portugues,media,Principal,Contraste entre cidade e campo; útil para descrições e reflexão social moderada.,Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
a_reliquia,A Relíquia,Eça de Queirós,A Relíquia,Project Gutenberg,17515,https://www.gutenberg.org/ebooks/17515,https://www.gutenberg.org/ebooks/17515.txt.utf-8,https://www.gutenberg.org/ebooks/17515.txt.utf-8,pt,romance,1887,realismo_portugues,alta,Principal,"Ironia religiosa, sonho e crítica social; boa fonte para ambiguidade e alta complexidade.",Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
mysterio_estrada_cintra,O Mysterio da Estrada de Cintra,Eça de Queirós; Ramalho Ortigão,O Mysterio da Estrada de Cintra,Project Gutenberg,20574,https://www.gutenberg.org/ebooks/20574,https://www.gutenberg.org/ebooks/20574.txt.utf-8,https://www.gutenberg.org/ebooks/20574.txt.utf-8,pt,romance_epistolar,1870,realismo_portugues,media_alta,Complementar,Narrativa em cartas e mistério; útil para complexidade narrativa e múltiplas vozes.,Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
o_mandarim,O Mandarim,Eça de Queirós,O Mandarim,Project Gutenberg,16384,https://www.gutenberg.org/ebooks/16384,https://www.gutenberg.org/ebooks/16384.txt.utf-8,https://www.gutenberg.org/ebooks/16384.txt.utf-8,pt,novela,1880,realismo_portugues,media_alta,Complementar,Novela filosófica e fantástica; útil para reflexão moral e simbolismo.,Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
prosas_barbaras,Prosas Bárbaras,Eça de Queirós,Prosas Bárbaras,Project Gutenberg,68986,https://www.gutenberg.org/ebooks/68986,https://www.gutenberg.org/ebooks/68986.txt.utf-8,https://www.gutenberg.org/ebooks/68986.txt.utf-8,pt,prosa,1903,realismo_portugues,media_alta,Complementar,Prosa ensaística/literária; usar com cautela para não deslocar demais o corpus narrativo.,Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
lendas_narrativas_tomo_1,"Lendas e Narrativas, Tomo I",Alexandre Herculano,Lendas e Narrativas,Project Gutenberg,9654,https://www.gutenberg.org/ebooks/9654,https://www.gutenberg.org/ebooks/9654.txt.utf-8,https://www.gutenberg.org/ebooks/9654.txt.utf-8,pt,contos_historicos,1851,romantismo_historico,media_alta,Principal,Narrativas históricas com léxico e sintaxe do século XIX; útil para média e alta complexidade.,Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
lendas_narrativas_tomo_2,"Lendas e Narrativas, Tomo II",Alexandre Herculano,Lendas e Narrativas,Project Gutenberg,17005,https://www.gutenberg.org/ebooks/17005,https://www.gutenberg.org/ebooks/17005.txt.utf-8,https://www.gutenberg.org/ebooks/17005.txt.utf-8,pt,contos_historicos,1851,romantismo_historico,media_alta,Principal,Continuação das narrativas históricas; bom para ampliar diversidade textual.,Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
eurico_o_presbytero,"Eurico, o Presbytero",Alexandre Herculano,"Eurico, o Presbytero",Project Gutenberg,45966,https://www.gutenberg.org/ebooks/45966,https://www.gutenberg.org/ebooks/45966.txt.utf-8,https://www.gutenberg.org/ebooks/45966.txt.utf-8,pt,romance_historico,1844,romantismo_historico,alta,Principal,Romance histórico com densidade lexical e sintática; forte candidato para trechos médios e altos.,Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
lendas_do_sul,Lendas do Sul,J. Simões Lopes Neto,Lendas do Sul,Project Gutenberg,2837,https://www.gutenberg.org/ebooks/2837,https://www.gutenberg.org/ebooks/2837.txt.utf-8,https://www.gutenberg.org/ebooks/2837.txt.utf-8,pt,contos_lendas,1913,regionalismo,media,Principal,Lendas regionalistas e linguagem gauchesca; útil para variar léxico e registros de fala.,Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
a_capital_federal,A Capital Federal,Henrique Coelho Netto,A Capital Federal,Project Gutenberg,70121,https://www.gutenberg.org/ebooks/70121,https://www.gutenberg.org/ebooks/70121.txt.utf-8,https://www.gutenberg.org/ebooks/70121.txt.utf-8,pt,romance,1915,realismo_pre_modernismo,media,Principal,Choque entre rural e urbano; bom para crítica social e descrições de costumes.,Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
mysterio_do_natal,Mysterio do Natal,Henrique Coelho Netto,Mysterio do Natal,Project Gutenberg,34750,https://www.gutenberg.org/ebooks/34750,https://www.gutenberg.org/ebooks/34750.txt.utf-8,https://www.gutenberg.org/ebooks/34750.txt.utf-8,pt,romance,1907,simbolismo_prosa_religiosa,media_alta,Complementar,Prosa com elementos simbólicos e religiosos; usar como complemento para alta complexidade.,Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
os_meus_amores,Os meus amores: contos e balladas,Trindade Coelho,Os meus amores,Project Gutenberg,17503,https://www.gutenberg.org/ebooks/17503,https://www.gutenberg.org/ebooks/17503.txt.utf-8,https://www.gutenberg.org/ebooks/17503.txt.utf-8,pt,contos,1894,regionalismo_portugues,media,Complementar,"Contos e baladas em português europeu; amplia variedade, mas deve ser usado com balanceamento.",Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
o_que_fazem_mulheres,O que fazem mulheres: Romance philosophico,Camilo Castelo Branco,O que fazem mulheres,Project Gutenberg,29435,https://www.gutenberg.org/ebooks/29435,https://www.gutenberg.org/ebooks/29435.txt.utf-8,https://www.gutenberg.org/ebooks/29435.txt.utf-8,pt,romance,1858,romantismo_portugues,media_alta,Complementar,Romance filosófico e sentimental; útil para variedade histórica e sintática.,Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
paisagens_china_japao,Paisagens da China e do Japão,Wenceslau de Moraes,Paisagens da China e do Japão,Project Gutenberg,25537,https://www.gutenberg.org/ebooks/25537,https://www.gutenberg.org/ebooks/25537.txt.utf-8,https://www.gutenberg.org/ebooks/25537.txt.utf-8,pt,prosa_viagem,1906,prosa_viagem,media,Complementar,Prosa descritiva de viagem; usar com cautela por não ser romance/ficção narrativa.,Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
o_culto_do_cha,O culto do chá,Wenceslau de Moraes,O culto do chá,Project Gutenberg,37879,https://www.gutenberg.org/ebooks/37879,https://www.gutenberg.org/ebooks/37879.txt.utf-8,https://www.gutenberg.org/ebooks/37879.txt.utf-8,pt,prosa_cultural,1905,prosa_viagem,media,Complementar,"Texto cultural/descritivo; pode ampliar diversidade, mas não deve dominar o corpus literário.",Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
novos_contos_bento_moreno,Novos contos,Bento Moreno,Novos contos,Project Gutenberg,62954,https://www.gutenberg.org/ebooks/62954,https://www.gutenberg.org/ebooks/62954.txt.utf-8,https://www.gutenberg.org/ebooks/62954.txt.utf-8,pt,contos,1900,regionalismo_portugues,media,Complementar,Coletânea de contos; útil para ampliar variedade de cenas e estruturas narrativas.,Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
comedia_do_campo_vol3,"Comedia do Campo, Volume III",Bento Moreno,Comedia do Campo,Project Gutenberg,63034,https://www.gutenberg.org/ebooks/63034,https://www.gutenberg.org/ebooks/63034.txt.utf-8,https://www.gutenberg.org/ebooks/63034.txt.utf-8,pt,contos,1900,regionalismo_portugues,media,Complementar,Cenas do Minho; útil para diversidade regional e baixa/média complexidade.,Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
